benchmark,kind,profile,scenario,frontend,backend,linker,borrowck,typeck,metadata
autocfg-1.1.0,lib,Debug,IncrUnchanged,221632707,112872420,2209579,0,27389294,145969800
autocfg-1.1.0,lib,Opt,IncrFull,430445567,632121314,625850,52159810,135776836,21609273
base64-0.22.0,lib,Debug,IncrUnchanged,269568286,66294214,1391873,0,52255911,97558741
base64-0.22.0,lib,Opt,IncrUnchanged,221041709,99943692,763997,0,52398667,49203204
base64-0.22.0,lib,Opt,IncrPatched0,259257500,103013790,735921,295011,59654931,51053448
base64-0.22.0,lib,Check,IncrUnchanged,207304212,21021836,13410,0,52291181,39312026
base64-0.22.0,lib,Check,Full,734280941,162063403,13829,117711811,185704088,29254345
base64-0.22.0,lib,Debug,Full,858035454,331496003,1038126,116551251,183999185,106398593
base64-0.22.0,lib,Opt,Full,892745688,364830007,791375,114133977,182841631,149428706
base64-0.22.0,lib,Check,IncrFull,1030287210,169770424,15575,145017164,313161462,44300742
base64-0.22.0,lib,Check,IncrPatched0,247192921,43663297,13759,294871,59830303,42354466
base64-0.22.0,lib,Debug,IncrFull,1202928196,402170543,1496147,145500256,315059828,152261761
base64-0.22.0,lib,Opt,IncrFull,1124559487,415933881,744163,142761206,311245848,86499392
base64-0.22.0,lib,Debug,IncrPatched0,309684190,66234359,1411080,305417,59812703,100963310
bitflags-2.4.2,lib,Check,Full,277447888,57379213,13060,41093892,57447448,16041011
bitflags-2.4.2,lib,Debug,Full,311994691,88179292,608460,40868512,57918320,38719979
bitflags-2.4.2,lib,Opt,IncrFull,425288468,117385936,543857,49177568,95823177,43492466
bitflags-2.4.2,lib,Check,IncrFull,384503271,64172008,12431,50160099,95993311,23477327
bitflags-2.4.2,lib,Opt,IncrPatched0,122239020,42175532,478554,309748,20638195,26385322
bitflags-2.4.2,lib,Check,IncrPatched0,116184869,30784436,12572,309119,20762444,21513311
bitflags-2.4.2,lib,Debug,IncrFull,435267646,101362804,635908,49302321,95753335,53594566
bitflags-2.4.2,lib,Debug,IncrPatched0,131812628,33993518,558383,309119,20720749,35615519
bitflags-2.4.2,lib,Debug,IncrUnchanged,110389483,33348600,593095,0,17062305,33574677
bitflags-2.4.2,lib,Opt,Full,348397814,83430621,617260,40820467,57299383,76787217
bitflags-2.4.2,lib,Opt,IncrUnchanged,102008071,41370328,485190,0,17087169,25102681
bitflags-2.4.2,lib,Check,IncrUnchanged,95539131,10619208,12851,0,17129004,19994885
block-buffer-0.10.4,lib,Check,IncrPatched0,83568140,49638318,13200,301157,14879965,9268819
block-buffer-0.10.4,lib,Opt,IncrFull,256712126,957161870,336497,26833495,71756876,22562891
block-buffer-0.10.4,lib,Debug,IncrUnchanged,59975155,6293288,324065,0,12888291,12299945
block-buffer-0.10.4,lib,Debug,Full,175995967,919546365,374980,21614301,41086841,13549132
block-buffer-0.10.4,lib,Check,Full,168507410,677832235,26749,21770045,41207946,7062802
block-buffer-0.10.4,lib,Debug,IncrPatched0,88820718,41418099,327347,295919,14926898,12927752
block-buffer-0.10.4,lib,Debug,IncrFull,254505479,930317617,323856,27110835,71998737,18738364
block-buffer-0.10.4,lib,Opt,IncrPatched0,87953145,42371718,327557,297944,14792732,12261742
block-buffer-0.10.4,lib,Check,IncrFull,231214490,686398588,12781,26518019,71582970,10078703
block-buffer-0.10.4,lib,Opt,Full,206739406,1215818106,389087,21535659,41030199,44300533
block-buffer-0.10.4,lib,Check,IncrUnchanged,55503965,6922840,12292,0,12873765,8844741
block-buffer-0.10.4,lib,Opt,IncrUnchanged,59862641,6867455,324274,0,12920558,12144059
byteorder-1.5.0,lib,Debug,IncrUnchanged,203160862,20410722,591418,0,42046675,49743010
byteorder-1.5.0,lib,Check,IncrPatched0,261697001,45614953,13619,325881,43754791,39851902
byteorder-1.5.0,lib,Check,Full,647736022,166950571,15714,93343028,125531144,27518572
byteorder-1.5.0,lib,Debug,IncrFull,1003432219,242902135,588765,109548381,226725142,80168530
byteorder-1.5.0,lib,Debug,IncrPatched0,279496136,47573520,588835,302414,43637387,54793466
byteorder-1.5.0,lib,Debug,Full,714601613,231235583,631019,92740638,124905782,57215085
byteorder-1.5.0,lib,Check,IncrFull,916913410,175858380,16133,110238490,226339267,41434443
byteorder-1.5.0,lib,Check,IncrUnchanged,186413612,18207289,13340,0,41893861,35460611
byteorder-1.5.0,lib,Opt,IncrFull,1019098323,254233308,597355,108773565,226179540,96099820
byteorder-1.5.0,lib,Opt,IncrPatched0,279532314,51037455,573050,305278,43875058,52865559
byteorder-1.5.0,lib,Opt,Full,781965383,293801304,742207,92967140,125152254,122951894
byteorder-1.5.0,lib,Opt,IncrUnchanged,202154585,21464003,678930,0,41802369,48854346
bytes-1.5.0,lib,Check,IncrFull,1842438510,144505923,14667,263715037,469072318,101536990
bytes-1.5.0,lib,Check,IncrPatched0,497296919,68405667,13758,288446,95299087,96923254
bytes-1.5.0,lib,Opt,Full,1682116403,370293724,1296749,211336680,281587266,319478226
bytes-1.5.0,lib,Check,Full,1330922466,132531649,15644,211561613,282250410,68354053
bytes-1.5.0,lib,Opt,IncrUnchanged,447814910,165735329,1160488,0,79531646,119521415
bytes-1.5.0,lib,Debug,IncrUnchanged,534493096,106531993,2053763,0,79807520,202974107
bytes-1.5.0,lib,Debug,Full,1609485453,343388011,1665233,213676360,282988567,237094457
bytes-1.5.0,lib,Debug,IncrFull,2189609846,435564130,2281796,265072838,468014079,311339373
bytes-1.5.0,lib,Debug,IncrPatched0,629688259,98161196,2078137,291589,95588580,214056644
bytes-1.5.0,lib,Check,IncrUnchanged,410809818,43208001,14177,0,79321003,88811220
bytes-1.5.0,lib,Opt,IncrPatched0,530395770,171298982,1116976,300110,95113449,124923524
bytes-1.5.0,lib,Opt,IncrFull,2072823086,476265378,1236337,262065751,465662584,207522752
cc-1.0.90,lib,Opt,IncrFull,1837739951,2562277669,1565989,345882414,251382588,58620788
cc-1.0.90,lib,Opt,IncrUnchanged,247098505,804859692,1514795,0,47277044,44603507
cc-1.0.90,lib,Check,IncrFull,1655624092,184101439,15155,341437900,250215254,42987233
cc-1.0.90,lib,Debug,IncrUnchanged,690298842,444361385,6083204,0,47403736,486640074
cc-1.0.90,lib,Debug,Full,1961192387,1948418219,5187485,299978952,134413603,575766838
cc-1.0.90,lib,Debug,IncrPatched0,889355466,443149913,6222608,312751,55262175,485455212
cc-1.0.90,lib,Opt,IncrPatched0,445578867,803829250,1396483,307163,54723976,43529623
cc-1.0.90,lib,Check,Full,1277902500,175204875,16204,299622258,134080458,28725715
cc-1.0.90,lib,Check,IncrPatched0,430220761,48931173,12851,315405,54726280,40226394
cc-1.0.90,lib,Debug,IncrFull,2526273324,2274568421,6597728,344047313,249785379,750734533
cc-1.0.90,lib,Check,IncrUnchanged,232360945,23746427,12920,0,47651465,39931522
cc-1.0.90,lib,Opt,Full,2004789278,2125818297,1472471,301794336,135141004,611432159
cfg-if-1.0.0,lib,Opt,IncrFull,4224929,2808331,263862,0,120896,681933
cfg-if-1.0.0,lib,Debug,IncrPatched0,7689701,23085446,273919,291518,395793,797382
cfg-if-1.0.0,lib,Opt,IncrPatched0,7668749,22524269,254223,319595,398098,702048
cfg-if-1.0.0,lib,Opt,IncrUnchanged,3481674,2103979,234738,0,49517,597495
